YYYYMMDD,19760923
YYYY/DD/MMThhmm-hhmm,1976/23/09T1111-1111
YYYY/DD/MMThhmm-hh,1976/23/09T1111-11
YYYY/DD/MM hhmmZ,1976/23/09 1111Z
YYYY/DD/MM hhmm+hh:mm,1976/23/09 1111+11:11
YYYY/DD/MM hhmm+hhmm,1976/23/09 1111+1111
YYYY/DD/MM hhmm+hh,1976/23/09 1111+11
YYYY/DD/MM hhmm-hh:mm,1976/23/09 1111-11:11
YYYY/DD/MM hhmm-hhmm,1976/23/09 1111-1111
YYYY/DD/MM hhmm-hh,1976/23/09 1111-11
YYYY/DD/MMThhmmssZ,1976/23/09T111111Z
YYYY/DD/MMThhmmss+hh:mm,1976/23/09T111111+11:11
YYYY/DD/MMThhmmss+hhmm,1976/23/09T111111+1111
YYYY/DD/MMThhmmss+hh,1976/23/09T111111+11
YYYY/DD/MMThhmmss-hh:mm,1976/23/09T111111-11:11
YYYY/DD/MMThhmmss-hhmm,1976/23/09T111111-1111
YYYY/DD/MMThhmmss-hh,1976/23/09T111111-11
YYYY/DD/MM hhmmssZ,1976/23/09 111111Z
YYYY/DD/MM hhmmss+hh:mm,1976/23/09 111111+11:11
YYYY/DD/MM hhmmss+hhmm,1976/23/09 111111+1111
YYYY/DD/MM hhmmss+hh,1976/23/09 111111+11
YYYY/DD/MM hhmmss-hh:mm,1976/23/09 111111-11:11
YYYY/DD/MM hhmmss-hhmm,1976/23/09 111111-1111
YYYY/DD/MM hhmmss-hh,1976/23/09 111111-11
YYYY/DD/MMThhmmss.sssZ,1976/23/09T111111.888Z
YYYY/DD/MMThhmmss.sss+hh:mm,1976/23/09T111111.888+11:11
YYYY/DD/MMThhmmss.sss+hhmm,1976/23/09T111111.888+1111
YYYY/DD/MMThhmmss.sss+hh,1976/23/09T111111.888+11
YYYY/DD/MMThhmmss.sss-hh:mm,1976/23/09T111111.888-11:11
YYYY/DD/MMThhmmss.sss-hhmm,1976/23/09T111111.888-1111
YYYY/DD/MMThhmmss.sss-hh,1976/23/09T111111.888-11
YYYY/DD/MM hhmmss.sssZ,1976/23/09 111111.888Z
YYYY/DD/MM hhmmss.sss+hh:mm,1976/23/09 111111.888+11:11
YYYY/DD/MM hhmmss.sss+hhmm,1976/23/09 111111.888+1111
YYYY/DD/MM hhmmss.sss+hh,1976/23/09 111111.888+11
YYYY/DD/MM hhmmss.sss-hh:mm,1976/23/09 111111.888-11:11
YYYY/DD/MM hhmmss.sss-hhmm,1976/23/09 111111.888-1111
YYYY/DD/MM hhmmss.sss-hh,1976/23/09 111111.888-11
YYYY/DD/MMThh:mmZ,1976/23/09T11:11Z
YYYY/DD/MMThh:mm+hh:mm,1976/23/09T11:11+11:11
YYYY/DD/MMThh:mm+hhmm,1976/23/09T11:11+1111
YYYY/DD/MMThh:mm+hh,1976/23/09T11:11+11
YYYY/DD/MMThh:mm-hh:mm,1976/23/09T11:11-11:11
YYYY/DD/MMThh:mm-hhmm,1976/23/09T11:11-1111
YYYY/DD/MMThh:mm-hh,1976/23/09T11:11-11
YYYY/DD/MM hh:mmZ,1976/23/09 11:11Z
YYYY/DD/MM hh:mm+hh:mm,1976/23/09 11:11+11:11
YYYY/DD/MM hh:mm+hhmm,1976/23/09 11:11+1111
YYYY/DD/MM hh:mm+hh,1976/23/09 11:11+11
YYYY/DD/MM hh:mm-hh:mm,1976/23/09 11:11-11:11
YYYY/DD/MM hh:mm-hhmm,1976/23/09 11:11-1111
YYYY/DD/MM hh:mm-hh,1976/23/09 11:11-11
YYYY/DD/MMThh:mm:ssZ,1976/23/09T11:11:11Z
YYYY/DD/MMThh:mm:ss+hh:mm,1976/23/09T11:11:11+11:11
YYYY/DD/MMThh:mm:ss+hhmm,1976/23/09T11:11:11+1111
YYYY/DD/MMThh:mm:ss+hh,1976/23/09T11:11:11+11
YYYY/DD/MMThh:mm:ss-hh:mm,1976/23/09T11:11:11-11:11
YYYY/DD/MMThh:mm:ss-hhmm,1976/23/09T11:11:11-1111
YYYY/DD/MMThh:mm:ss-hh,1976/23/09T11:11:11-11
YYYY/DD/MM hh:mm:ssZ,1976/23/09 11:11:11Z
YYYY/DD/MM hh:mm:ss+hh:mm,1976/23/09 11:11:11+11:11
YYYY/DD/MM hh:mm:ss+hhmm,1976/23/09 11:11:11+1111
YYYY/DD/MM hh:mm:ss+hh,1976/23/09 11:11:11+11
YYYY/DD/MM hh:mm:ss-hh:mm,1976/23/09 11:11:11-11:11
YYYY/DD/MM hh:mm:ss-hhmm,1976/23/09 11:11:11-1111
YYYY/DD/MM hh:mm:ss-hh,1976/23/09 11:11:11-11
YYYY/DD/MMThh:mm:ss.sssZ,1976/23/09T11:11:11.888Z
YYYY/DD/MMThh:mm:ss.sss+hh:mm,1976/23/09T11:11:11.888+11:11
YYYY/DD/MMThh:mm:ss.sss+hhmm,1976/23/09T11:11:11.888+1111
YYYY/DD/MMThh:mm:ss.sss+hh,1976/23/09T11:11:11.888+11
YYYY/DD/MMThh:mm:ss.sss-hh:mm,1976/23/09T11:11:11.888-11:11
YYYY/DD/MMThh:mm:ss.sss-hhmm,1976/23/09T11:11:11.888-1111
YYYY/DD/MMThh:mm:ss.sss-hh,1976/23/09T11:11:11.888-11
YYYY/DD/MM hh:mm:ss.sssZ,1976/23/09 11:11:11.888Z
YYYY/DD/MM hh:mm:ss.sss+hh:mm,1976/23/09 11:11:11.888+11:11
YYYY/DD/MM hh:mm:ss.sss+hhmm,1976/23/09 11:11:11.888+1111
YYYY/DD/MM hh:mm:ss.sss+hh,1976/23/09 11:11:11.888+11
YYYY/DD/MM hh:mm:ss.sss-hh:mm,1976/23/09 11:11:11.888-11:11
YYYY/DD/MM hh:mm:ss.sss-hhmm,1976/23/09 11:11:11.888-1111
YYYY/DD/MM hh:mm:ss.sss-hh,1976/23/09 11:11:11.888-11
YYYY-DD-MMThhZ,1976-23-09T11Z
YYYY-DD-MMThh+hh:mm,1976-23-09T11+11:11
YYYY-DD-MMThh+hhmm,1976-23-09T11+1111
YYYY-DD-MMThh+hh,1976-23-09T11+11
YYYY-DD-MMThh-hh:mm,1976-23-09T11-11:11
YYYY-DD-MMThh-hhmm,1976-23-09T11-1111
YYYY-DD-MMThh-hh,1976-23-09T11-11
YYYY-DD-MM hhZ,1976-23-09 11Z
YYYY-DD-MM hh+hh:mm,1976-23-09 11+11:11
YYYY-DD-MM hh+hhmm,1976-23-09 11+1111
YYYY-DD-MM hh+hh,1976-23-09 11+11
YYYY-DD-MM hh-hh:mm,1976-23-09 11-11:11
YYYY-DD-MM hh-hhmm,1976-23-09 11-1111
YYYY-DD-MM hh-hh,1976-23-09 11-11
YYYY-DD-MMThhmmZ,1976-23-09T1111Z
YYYY-DD-MMThhmm+hh:mm,1976-23-09T1111+11:11
YYYY-DD-MMThhmm+hhmm,1976-23-09T1111+1111
YYYY-DD-MMThhmm+hh,1976-23-09T1111+11
YYYY-DD-MMThhmm-hh:mm,1976-23-09T1111-11:11
YYYY-DD-MMThhmm-hhmm,1976-23-09T1111-1111
YYYY-DD-MMThhmm-hh,1976-23-09T1111-11
YYYY-DD-MM hhmmZ,1976-23-09 1111Z
YYYY-DD-MM hhmm+hh:mm,1976-23-09 1111+11:11
YYYY-DD-MM hhmm+hhmm,1976-23-09 1111+1111
YYYY-DD-MM hhmm+hh,1976-23-09 1111+11
YYYY-DD-MM hhmm-hh:mm,1976-23-09 1111-11:11
YYYY-DD-MM hhmm-hhmm,1976-23-09 1111-1111
YYYY-DD-MM hhmm-hh,1976-23-09 1111-11
YYYY-DD-MMThhmmssZ,1976-23-09T111111Z
YYYY-DD-MMThhmmss+hh:mm,1976-23-09T111111+11:11
YYYY-DD-MMThhmmss+hhmm,1976-23-09T111111+1111
YYYY-DD-MMThhmmss+hh,1976-23-09T111111+11
YYYY-DD-MMThhmmss-hh:mm,1976-23-09T111111-11:11
YYYY-DD-MMThhmmss-hhmm,1976-23-09T111111-1111
YYYY-DD-MMThhmmss-hh,1976-23-09T111111-11
YYYY-DD-MM hhmmssZ,1976-23-09 111111Z
YYYY-DD-MM hhmmss+hh:mm,1976-23-09 111111+11:11
YYYY-DD-MM hhmmss+hhmm,1976-23-09 111111+1111
YYYY-DD-MM hhmmss+hh,1976-23-09 111111+11
YYYY-DD-MM hhmmss-hh:mm,1976-23-09 111111-11:11
YYYY-DD-MM hhmmss-hhmm,1976-23-09 111111-1111
YYYY-DD-MM hhmmss-hh,1976-23-09 111111-11
YYYY-DD-MMThhmmss.sssZ,1976-23-09T111111.888Z
YYYY-DD-MMThhmmss.sss+hh:mm,1976-23-09T111111.888+11:11
YYYY-DD-MMThhmmss.sss+hhmm,1976-23-09T111111.888+1111
YYYY-DD-MMThhmmss.sss+hh,1976-23-09T111111.888+11
YYYY-DD-MMThhmmss.sss-hh:mm,1976-23-09T111111.888-11:11
YYYY-DD-MMThhmmss.sss-hhmm,1976-23-09T111111.888-1111
YYYY-DD-MMThhmmss.sss-hh,1976-23-09T111111.888-11
YYYY-DD-MM hhmmss.sssZ,1976-23-09 111111.888Z
YYYY-DD-MM hhmmss.sss+hh:mm,1976-23-09 111111.888+11:11
YYYY-DD-MM hhmmss.sss+hhmm,1976-23-09 111111.888+1111
YYYY-DD-MM hhmmss.sss+hh,1976-23-09 111111.888+11
YYYY-DD-MM hhmmss.sss-hh:mm,1976-23-09 111111.888-11:11
YYYY-DD-MM hhmmss.sss-hhmm,1976-23-09 111111.888-1111
YYYY-DD-MM hhmmss.sss-hh,1976-23-09 111111.888-11
YYYY-DD-MMThh:mmZ,1976-23-09T11:11Z
YYYY-DD-MMThh:mm+hh:mm,1976-23-09T11:11+11:11
YYYY-DD-MMThh:mm+hhmm,1976-23-09T11:11+1111
YYYY-DD-MMThh:mm+hh,1976-23-09T11:11+11
YYYY-DD-MMThh:mm-hh:mm,1976-23-09T11:11-11:11
YYYY-DD-MMThh:mm-hhmm,1976-23-09T11:11-1111
YYYY-DD-MMThh:mm-hh,1976-23-09T11:11-11
YYYY-DD-MM hh:mmZ,1976-23-09 11:11Z
YYYY-DD-MM hh:mm+hh:mm,1976-23-09 11:11+11:11
YYYY-DD-MM hh:mm+hhmm,1976-23-09 11:11+1111
YYYY-DD-MM hh:mm+hh,1976-23-09 11:11+11
YYYY-DD-MM hh:mm-hh:mm,1976-23-09 11:11-11:11
YYYY-DD-MM hh:mm-hhmm,1976-23-09 11:11-1111
YYYY-DD-MM hh:mm-hh,1976-23-09 11:11-11
YYYY-DD-MMThh:mm:ssZ,1976-23-09T11:11:11Z
YYYY-DD-MMThh:mm:ss+hh:mm,1976-23-09T11:11:11+11:11
YYYY-DD-MMThh:mm:ss+hhmm,1976-23-09T11:11:11+1111
YYYY-DD-MMThh:mm:ss+hh,1976-23-09T11:11:11+11
YYYY-DD-MMThh:mm:ss-hh:mm,1976-23-09T11:11:11-11:11
YYYY-DD-MMThh:mm:ss-hhmm,1976-23-09T11:11:11-1111
YYYY-DD-MMThh:mm:ss-hh,1976-23-09T11:11:11-11
YYYY-DD-MM hh:mm:ssZ,1976-23-09 11:11:11Z
YYYY-DD-MM hh:mm:ss+hh:mm,1976-23-09 11:11:11+11:11
YYYY-DD-MM hh:mm:ss+hhmm,1976-23-09 11:11:11+1111
YYYY-DD-MM hh:mm:ss+hh,1976-23-09 11:11:11+11
YYYY-DD-MM hh:mm:ss-hh:mm,1976-23-09 11:11:11-11:11
YYYY-DD-MM hh:mm:ss-hhmm,1976-23-09 11:11:11-1111
YYYY-DD-MM hh:mm:ss-hh,1976-23-09 11:11:11-11
YYYY-DD-MMThh:mm:ss.sssZ,1976-23-09T11:11:11.888Z
YYYY-DD-MMThh:mm:ss.sss+hh:mm,1976-23-09T11:11:11.888+11:11
YYYY-DD-MMThh:mm:ss.sss+hhmm,1976-23-09T11:11:11.888+1111
YYYY-DD-MMThh:mm:ss.sss+hh,1976-23-09T11:11:11.888+11
YYYY-DD-MMThh:mm:ss.sss-hh:mm,1976-23-09T11:11:11.888-11:11
YYYY-DD-MMThh:mm:ss.sss-hhmm,1976-23-09T11:11:11.888-1111
YYYY-DD-MMThh:mm:ss.sss-hh,1976-23-09T11:11:11.888-11
YYYY-DD-MM hh:mm:ss.sssZ,1976-23-09 11:11:11.888Z
YYYY-DD-MM hh:mm:ss.sss+hh:mm,1976-23-09 11:11:11.888+11:11
YYYY-DD-MM hh:mm:ss.sss+hhmm,1976-23-09 11:11:11.888+1111
YYYY-DD-MM hh:mm:ss.sss+hh,1976-23-09 11:11:11.888+11
YYYY-DD-MM hh:mm:ss.sss-hh:mm,1976-23-09 11:11:11.888-11:11
YYYY-DD-MM hh:mm:ss.sss-hhmm,1976-23-09 11:11:11.888-1111
YYYY-DD-MM hh:mm:ss.sss-hh,1976-23-09 11:11:11.888-11
MMYYYYDDThhZ,09197623T11Z
MMYYYYDDThh+hh:mm,09197623T11+11:11
MMYYYYDDThh+hhmm,09197623T11+1111
MMYYYYDDThh+hh,09197623T11+11
MMYYYYDDThh-hh:mm,09197623T11-11:11
MMYYYYDDThh-hhmm,09197623T11-1111
MMYYYYDDThh-hh,09197623T11-11
MMYYYYDD hhZ,09197623 11Z
MMYYYYDD hh+hh:mm,09197623 11+11:11
MMYYYYDD hh+hhmm,09197623 11+1111
MMYYYYDD hh+hh,09197623 11+11
MMYYYYDD hh-hh:mm,09197623 11-11:11
MMYYYYDD hh-hhmm,09197623 11-1111
MMYYYYDD hh-hh,09197623 11-11
MMYYYYDDThhmmZ,09197623T1111Z
MMYYYYDDThhmm+hh:mm,09197623T1111+11:11
MMYYYYDDThhmm+hhmm,09197623T1111+1111
MMYYYYDDThhmm+hh,09197623T1111+11
MMYYYYDDThhmm-hh:mm,09197623T1111-11:11
MMYYYYDDThhmm-hhmm,09197623T1111-1111
MMYYYYDDThhmm-hh,09197623T1111-11
MMYYYYDD hhmmZ,09197623 1111Z
MMYYYYDD hhmm+hh:mm,09197623 1111+11:11
MMYYYYDD hhmm+hhmm,09197623 1111+1111
MMYYYYDD hhmm+hh,09197623 1111+11
MMYYYYDD hhmm-hh:mm,09197623 1111-11:11
MMYYYYDD hhmm-hhmm,09197623 1111-1111
MMYYYYDD hhmm-hh,09197623 1111-11
MMYYYYDDThhmmssZ,09197623T111111Z
MMYYYYDDThhmmss+hh:mm,09197623T111111+11:11
MMYYYYDDThhmmss+hhmm,09197623T111111+1111
MMYYYYDDThhmmss+hh,09197623T111111+11
MMYYYYDDThhmmss-hh:mm,09197623T111111-11:11
MMYYYYDDThhmmss-hhmm,09197623T111111-1111
MMYYYYDDThhmmss-hh,09197623T111111-11
MMYYYYDD hhmmssZ,09197623 111111Z
MMYYYYDD hhmmss+hh:mm,09197623 111111+11:11
MMYYYYDD hhmmss+hhmm,09197623 111111+1111
MMYYYYDD hhmmss+hh,09197623 111111+11
MMYYYYDD hhmmss-hh:mm,09197623 111111-11:11
MMYYYYDD hhmmss-hhmm,09197623 111111-1111
MMYYYYDD hhmmss-hh,09197623 111111-11
MMYYYYDDThhmmss.sssZ,09197623T111111.888Z
MMYYYYDDThhmmss.sss+hh:mm,09197623T111111.888+11:11
MMYYYYDDThhmmss.sss+hhmm,09197623T111111.888+1111
MMYYYYDDThhmmss.sss+hh,09197623T111111.888+11
MMYYYYDDThhmmss.sss-hh:mm,09197623T111111.888-11:11
MMYYYYDDThhmmss.sss-hhmm,09197623T111111.888-1111
MMYYYYDDThhmmss.sss-hh,09197623T111111.888-11
MMYYYYDD hhmmss.sssZ,09197623 111111.888Z
MMYYYYDD hhmmss.sss+hh:mm,09197623 111111.888+11:11
MMYYYYDD hhmmss.sss+hhmm,09197623 111111.888+1111
MMYYYYDD hhmmss.sss+hh,09197623 111111.888+11
MMYYYYDD hhmmss.sss-hh:mm,09197623 111111.888-11:11
MMYYYYDD hhmmss.sss-hhmm,09197623 111111.888-1111
MMYYYYDD hhmmss.sss-hh,09197623 111111.888-11
MMYYYYDDThh:mmZ,09197623T11:11Z
MMYYYYDDThh:mm+hh:mm,09197623T11:11+11:11
MMYYYYDDThh:mm+hhmm,09197623T11:11+1111
MMYYYYDDThh:mm+hh,09197623T11:11+11
MMYYYYDDThh:mm-hh:mm,09197623T11:11-11:11
MMYYYYDDThh:mm-hhmm,09197623T11:11-1111
MMYYYYDDThh:mm-hh,09197623T11:11-11
MMYYYYDD hh:mmZ,09197623 11:11Z
MMYYYYDD hh:mm+hh:mm,09197623 11:11+11:11
MMYYYYDD hh:mm+hhmm,09197623 11:11+1111
MMYYYYDD hh:mm+hh,09197623 11:11+11
MMYYYYDD hh:mm-hh:mm,09197623 11:11-11:11
MMYYYYDD hh:mm-hhmm,09197623 11:11-1111
MMYYYYDD hh:mm-hh,09197623 11:11-11
MMYYYYDDThh:mm:ssZ,09197623T11:11:11Z
MMYYYYDDThh:mm:ss+hh:mm,09197623T11:11:11+11:11
MMYYYYDDThh:mm:ss+hhmm,09197623T11:11:11+1111
MMYYYYDDThh:mm:ss+hh,09197623T11:11:11+11
MMYYYYDDThh:mm:ss-hh:mm,09197623T11:11:11-11:11
MMYYYYDDThh:mm:ss-hhmm,09197623T11:11:11-1111
MMYYYYDDThh:mm:ss-hh,09197623T11:11:11-11
MMYYYYDD hh:mm:ssZ,09197623 11:11:11Z
MMYYYYDD hh:mm:ss+hh:mm,09197623 11:11:11+11:11
MMYYYYDD hh:mm:ss+hhmm,09197623 11:11:11+1111
MMYYYYDD hh:mm:ss+hh,09197623 11:11:11+11
MMYYYYDD hh:mm:ss-hh:mm,09197623 11:11:11-11:11
MMYYYYDD hh:mm:ss-hhmm,09197623 11:11:11-1111
MMYYYYDD hh:mm:ss-hh,09197623 11:11:11-11
MMYYYYDDThh:mm:ss.sssZ,09197623T11:11:11.888Z
MMYYYYDDThh:mm:ss.sss+hh:mm,09197623T11:11:11.888+11:11
MMYYYYDDThh:mm:ss.sss+hhmm,09197623T11:11:11.888+1111
MMYYYYDDThh:mm:ss.sss+hh,09197623T11:11:11.888+11
MMYYYYDDThh:mm:ss.sss-hh:mm,09197623T11:11:11.888-11:11
MMYYYYDDThh:mm:ss.sss-hhmm,09197623T11:11:11.888-1111
MMYYYYDDThh:mm:ss.sss-hh,09197623T11:11:11.888-11
MMYYYYDD hh:mm:ss.sssZ,09197623 11:11:11.888Z
MMYYYYDD hh:mm:ss.sss+hh:mm,09197623 11:11:11.888+11:11
MMYYYYDD hh:mm:ss.sss+hhmm,09197623 11:11:11.888+1111
MMYYYYDD hh:mm:ss.sss+hh,09197623 11:11:11.888+11
MMYYYYDD hh:mm:ss.sss-hh:mm,09197623 11:11:11.888-11:11
MMYYYYDD hh:mm:ss.sss-hhmm,09197623 11:11:11.888-1111
MMYYYYDD hh:mm:ss.sss-hh,09197623 11:11:11.888-11
MM/YYYY/DDThhZ,09/1976/23T11Z
MM/YYYY/DDThh+hh:mm,09/1976/23T11+11:11
MM/YYYY/DDThh+hhmm,09/1976/23T11+1111
MM/YYYY/DDThh+hh,09/1976/23T11+11
MM/YYYY/DDThh-hh:mm,09/1976/23T11-11:11
MM/YYYY/DDThh-hhmm,09/1976/23T11-1111
MM/YYYY/DDThh-hh,09/1976/23T11-11
MM/YYYY/DD hhZ,09/1976/23 11Z
MM/YYYY/DD hh+hh:mm,09/1976/23 11+11:11
MM/YYYY/DD hh+hhmm,09/1976/23 11+1111
MM/YYYY/DD hh+hh,09/1976/23 11+11
MM/YYYY/DD hh-hh:mm,09/1976/23 11-11:11
MM/YYYY/DD hh-hhmm,09/1976/23 11-1111
MM/YYYY/DD hh-hh,09/1976/23 11-11
MM/YYYY/DDThhmmZ,09/1976/23T1111Z
MM/YYYY/DDThhmm+hh:mm,09/1976/23T1111+11:11
MM/YYYY/DDThhmm+hhmm,09/1976/23T1111+1111
MM/YYYY/DDThhmm+hh,09/1976/23T1111+11
MM/YYYY/DDThhmm-hh:mm,09/1976/23T1111-11:11
MM/YYYY/DDThhmm-hhmm,09/1976/23T1111-1111
MM/YYYY/DDThhmm-hh,09/1976/23T1111-11
MM/YYYY/DD hhmmZ,09/1976/23 1111Z
MM/YYYY/DD hhmm+hh:mm,09/1976/23 1111+11:11
MM/YYYY/DD hhmm+hhmm,09/1976/23 1111+1111
MM/YYYY/DD hhmm+hh,09/1976/23 1111+11
MM/YYYY/DD hhmm-hh:mm,09/1976/23 1111-11:11
MM/YYYY/DD hhmm-hhmm,09/1976/23 1111-1111
MM/YYYY/DD hhmm-hh,09/1976/23 1111-11
MM/YYYY/DDThhmmssZ,09/1976/23T111111Z
MM/YYYY/DDThhmmss+hh:mm,09/1976/23T111111+11:11
MM/YYYY/DDThhmmss+hhmm,09/1976/23T111111+1111
MM/YYYY/DDThhmmss+hh,09/1976/23T111111+11
MM/YYYY/DDThhmmss-hh:mm,09/1976/23T111111-11:11
MM/YYYY/DDThhmmss-hhmm,09/1976/23T111111-1111
MM/YYYY/DDThhmmss-hh,09/1976/23T111111-11
MM/YYYY/DD hhmmssZ,09/1976/23 111111Z
MM/YYYY/DD hhmmss+hh:mm,09/1976/23 111111+11:11
MM/YYYY/DD hhmmss+hhmm,09/1976/23 111111+1111
MM/YYYY/DD hhmmss+hh,09/1976/23 111111+11
MM/YYYY/DD hhmmss-hh:mm,09/1976/23 111111-11:11
MM/YYYY/DD hhmmss-hhmm,09/1976/23 111111-1111
MM/YYYY/DD hhmmss-hh,09/1976/23 111111-11
MM/YYYY/DDThhmmss.sssZ,09/1976/23T111111.888Z
MM/YYYY/DDThhmmss.sss+hh:mm,09/1976/23T111111.888+11:11
MM/YYYY/DDThhmmss.sss+hhmm,09/1976/23T111111.888+1111
MM/YYYY/DDThhmmss.sss+hh,09/1976/23T111111.888+11
MM/YYYY/DDThhmmss.sss-hh:mm,09/1976/23T111111.888-11:11
MM/YYYY/DDThhmmss.sss-hhmm,09/1976/23T111111.888-1111
MM/YYYY/DDThhmmss.sss-hh,09/1976/23T111111.888-11
MM/YYYY/DD hhmmss.sssZ,09/1976/23 111111.888Z
MM/YYYY/DD hhmmss.sss+hh:mm,09/1976/23 111111.888+11:11
MM/YYYY/DD hhmmss.sss+hhmm,09/1976/23 111111.888+1111
MM/YYYY/DD hhmmss.sss+hh,09/1976/23 111111.888+11
MM/YYYY/DD hhmmss.sss-hh:mm,09/1976/23 111111.888-11:11
MM/YYYY/DD hhmmss.sss-hhmm,09/1976/23 111111.888-1111
MM/YYYY/DD hhmmss.sss-hh,09/1976/23 111111.888-11
MM/YYYY/DDThh:mmZ,09/1976/23T11:11Z
MM/YYYY/DDThh:mm+hh:mm,09/1976/23T11:11+11:11
MM/YYYY/DDThh:mm+hhmm,09/1976/23T11:11+1111
MM/YYYY/DDThh:mm+hh,09/1976/23T11:11+11
MM/YYYY/DDThh:mm-hh:mm,09/1976/23T11:11-11:11
MM/YYYY/DDThh:mm-hhmm,09/1976/23T11:11-1111
MM/YYYY/DDThh:mm-hh,09/1976/23T11:11-11
MM/YYYY/DD hh:mmZ,09/1976/23 11:11Z
MM/YYYY/DD hh:mm+hh:mm,09/1976/23 11:11+11:11
MM/YYYY/DD hh:mm+hhmm,09/1976/23 11:11+1111
MM/YYYY/DD hh:mm+hh,09/1976/23 11:11+11
MM/YYYY/DD hh:mm-hh:mm,09/1976/23 11:11-11:11
MM/YYYY/DD hh:mm-hhmm,09/1976/23 11:11-1111
MM/YYYY/DD hh:mm-hh,09/1976/23 11:11-11
MM/YYYY/DDThh:mm:ssZ,09/1976/23T11:11:11Z
MM/YYYY/DDThh:mm:ss+hh:mm,09/1976/23T11:11:11+11:11
MM/YYYY/DDThh:mm:ss+hhmm,09/1976/23T11:11:11+1111
MM/YYYY/DDThh:mm:ss+hh,09/1976/23T11:11:11+11
MM/YYYY/DDThh:mm:ss-hh:mm,09/1976/23T11:11:11-11:11
MM/YYYY/DDThh:mm:ss-hhmm,09/1976/23T11:11:11-1111
MM/YYYY/DDThh:mm:ss-hh,09/1976/23T11:11:11-11
MM/YYYY/DD hh:mm:ssZ,09/1976/23 11:11:11Z
MM/YYYY/DD hh:mm:ss+hh:mm,09/1976/23 11:11:11+11:11
MM/YYYY/DD hh:mm:ss+hhmm,09/1976/23 11:11:11+1111
MM/YYYY/DD hh:mm:ss+hh,09/1976/23 11:11:11+11
MM/YYYY/DD hh:mm:ss-hh:mm,09/1976/23 11:11:11-11:11
MM/YYYY/DD hh:mm:ss-hhmm,09/1976/23 11:11:11-1111
MM/YYYY/DD hh:mm:ss-hh,09/1976/23 11:11:11-11
MM/YYYY/DDThh:mm:ss.sssZ,09/1976/23T11:11:11.888Z
MM/YYYY/DDThh:mm:ss.sss+hh:mm,09/1976/23T11:11:11.888+11:11
MM/YYYY/DDThh:mm:ss.sss+hhmm,09/1976/23T11:11:11.888+1111
MM/YYYY/DDThh:mm:ss.sss+hh,09/1976/23T11:11:11.888+11
MM/YYYY/DDThh:mm:ss.sss-hh:mm,09/1976/23T11:11:11.888-11:11
MM/YYYY/DDThh:mm:ss.sss-hhmm,09/1976/23T11:11:11.888-1111
MM/YYYY/DDThh:mm:ss.sss-hh,09/1976/23T11:11:11.888-11
MM/YYYY/DD hh:mm:ss.sssZ,09/1976/23 11:11:11.888Z
MM/YYYY/DD hh:mm:ss.sss+hh:mm,09/1976/23 11:11:11.888+11:11
MM/YYYY/DD hh:mm:ss.sss+hhmm,09/1976/23 11:11:11.888+1111
MM/YYYY/DD hh:mm:ss.sss+hh,09/1976/23 11:11:11.888+11
MM/YYYY/DD hh:mm:ss.sss-hh:mm,09/1976/23 11:11:11.888-11:11
MM/YYYY/DD hh:mm:ss.sss-hhmm,09/1976/23 11:11:11.888-1111
MM/YYYY/DD hh:mm:ss.sss-hh,09/1976/23 11:11:11.888-11
MM-YYYY-DDThhZ,09-1976-23T11Z
MM-YYYY-DDThh+hh:mm,09-1976-23T11+11:11
MM-YYYY-DDThh+hhmm,09-1976-23T11+1111
MM-YYYY-DDThh+hh,09-1976-23T11+11
MM-YYYY-DDThh-hh:mm,09-1976-23T11-11:11
MM-YYYY-DDThh-hhmm,09-1976-23T11-1111
MM-YYYY-DDThh-hh,09-1976-23T11-11
MM-YYYY-DD hhZ,09-1976-23 11Z
MM-YYYY-DD hh+hh:mm,09-1976-23 11+11:11
MM-YYYY-DD hh+hhmm,09-1976-23 11+1111
MM-YYYY-DD hh+hh,09-1976-23 11+11
MM-YYYY-DD hh-hh:mm,09-1976-23 11-11:11
MM-YYYY-DD hh-hhmm,09-1976-23 11-1111
MM-YYYY-DD hh-hh,09-1976-23 11-11
MM-YYYY-DDThhmmZ,09-1976-23T1111Z
MM-YYYY-DDThhmm+hh:mm,09-1976-23T1111+11:11
MM-YYYY-DDThhmm+hhmm,09-1976-23T1111+1111
MM-YYYY-DDThhmm+hh,09-1976-23T1111+11
MM-YYYY-DDThhmm-hh:mm,09-1976-23T1111-11:11
MM-YYYY-DDThhmm-hhmm,09-1976-23T1111-1111
MM-YYYY-DDThhmm-hh,09-1976-23T1111-11
MM-YYYY-DD hhmmZ,09-1976-23 1111Z
MM-YYYY-DD hhmm+hh:mm,09-1976-23 1111+11:11
MM-YYYY-DD hhmm+hhmm,09-1976-23 1111+1111
MM-YYYY-DD hhmm+hh,09-1976-23 1111+11
MM-YYYY-DD hhmm-hh:mm,09-1976-23 1111-11:11
MM-YYYY-DD hhmm-hhmm,09-1976-23 1111-1111
MM-YYYY-DD hhmm-hh,09-1976-23 1111-11
MM-YYYY-DDThhmmssZ,09-1976-23T111111Z
MM-YYYY-DDThhmmss+hh:mm,09-1976-23T111111+11:11
MM-YYYY-DDThhmmss+hhmm,09-1976-23T111111+1111
MM-YYYY-DDThhmmss+hh,09-1976-23T111111+11
MM-YYYY-DDThhmmss-hh:mm,09-1976-23T111111-11:11
